index,T/F
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,0
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,1
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,0
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,0
665,1
666,1
667,0
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,0
687,1
688,1
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,1
697,1
698,0
699,0
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,1
722,0
723,0
724,0
725,1
726,1
727,0
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,1
739,0
740,0
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,0
749,1
750,1
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,0
804,0
805,1
806,0
807,1
808,1
809,0
810,1
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,1
826,1
827,1
828,0
829,1
830,1
831,1
832,1
833,0
834,1
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,0
844,1
845,1
846,0
847,0
848,1
849,1
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,0
858,0
859,1
860,1
861,0
862,1
863,0
864,0
865,1
866,1
867,1
868,0
869,0
870,1
871,1
872,0
873,0
874,0
875,1
876,0
877,0
878,1
879,1
880,0
881,0
882,1
883,1
884,0
885,0
886,0
887,0
888,1
889,1
890,1
891,0
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,0
907,0
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,1
919,0
920,0
921,0
922,1
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,1
939,1
940,0
941,1
942,0
943,1
944,1
945,1
946,1
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,1
958,0
959,0
960,1
961,1
962,1
963,1
964,0
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,0
974,1
975,1
976,0
977,0
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,1
994,1
995,1
996,1
997,0
998,1
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
